item_id,filename,rouge1_f,rouge2_f,rougeL_f,bleu,llm_output
1,Real_IndianCurrency_001.jpg,0.25531914893617025,0.08888888888888889,0.25531914893617025,0.011931001236437418,"DocumentType: Bank Note, Authenticity: Real, Reason: The document appears to be a genuine Indian Rupee banknote featuring Mahatma Gandhi. The design, watermark, security features, and text align with standard RBI currency. There are no immediately apparent inconsistencies or manipulations."
2,Real_IndianCurrency_002.jpg,0.1818181818181818,0.07547169811320756,0.1818181818181818,0.009831839445040182,"DocumentType: Currency Note, Authenticity: Real, Reason: The document appears to be a genuine Indian Rupee banknote. The printing quality, watermark, security thread, and other features align with authentic currency notes issued by the Reserve Bank of India. There are no immediately apparent inconsistencies or signs of tampering."
3,Real_IndianCurrency_003.jpg,0.11320754716981134,0.0,0.11320754716981134,0.004863083928997274,"DocumentType: Bank Note, Authenticity: Fake, Reason: The note appears to be a counterfeit. The printing quality is noticeably lower than genuine Indian currency, with blurry images and uneven color distribution. The serial number (364867) is also not consistent with the typical format of genuine notes."
4,Real_IndianCurrency_004.jpg,0.24999999999999997,0.08695652173913043,0.24999999999999997,0.011620839902894897,"DocumentType: Bank Note, Authenticity: Real, Reason: The document appears to be a genuine Indian Rupee banknote. The printing quality, security features (watermarks, security thread), and overall design align with official RBI currency. There are no immediately apparent inconsistencies or manipulations."
5,Real_IndianCurrency_005.jpg,0.12,0.0,0.12,0.005223577740745086,"DocumentType: Currency Note, Authenticity: Fake, Reason: The image is heavily blurred and distorted, making it impossible to discern details. The paper quality appears inconsistent with genuine currency.  The serial number is unclear and likely altered.  The overall appearance suggests a counterfeit note."
6,Real_IndianCurrency_006.jpg,0.10344827586206896,0.0,0.10344827586206896,0.004453323527690996,"DocumentType: Currency Note, Authenticity: Fake, Reason: The paper quality appears significantly lower than genuine Indian currency. The printing resolution is noticeably reduced, and there are inconsistencies in the color saturation and sharpness of the images. The watermark is poorly defined and doesn't match the expected pattern for this denomination."
7,Real_IndianCurrency_007.jpg,0.1694915254237288,0.07017543859649124,0.1694915254237288,0.009036923864070349,"DocumentType: Bank Note, Authenticity: Real, Reason: The document appears to be a genuine Indian Rupee banknote. The watermark, security thread, and other features align with the specifications of a 500 Rupee note issued in 2016. The image quality is good, and there are no immediately apparent signs of tampering or forgery."
8,Real_IndianCurrency_008.jpg,0.17777777777777778,0.0,0.17777777777777778,0.0065958005888164355,"DocumentType: Bank Note, Authenticity: Fake, Reason: The note appears to be tampered with. The serial number is partially obscured and the paper quality seems inconsistent with genuine currency. There are signs of attempted manipulation and potential alterations."
9,Real_IndianCurrency_009.jpg,0.15,0.0,0.15,0.007425868202031369,"DocumentType: Currency Note, Authenticity: Fake, Reason: The image shows a currency note with noticeable blurring, pixelation, and inconsistencies in the printing quality, suggesting it's a counterfeit or a low-quality reproduction."
10,Real_IndianCurrency_010.jpg,0.30769230769230765,0.10810810810810811,0.30769230769230765,0.015170687183605524,"DocumentType: Currency Note, Authenticity: Real, Reason: The image clearly shows a genuine Indian Rupee banknote. There are no apparent inconsistencies, manipulations, or unusual features that would suggest it is a fake."
