item_id,filename,rouge1_f,rouge2_f,rougeL_f,bleu,llm_output
1,Real_IndianCurrency_001.jpg,0.4,0.08695652173913043,0.31999999999999995,0.013679192123121896,"Authenticity: Fake, DocumentType: IndianCurrency, Reason: Manipulated or edited. Missing 500 annotation or missing emblem or AI generated."
2,Real_IndianCurrency_002.jpg,1.0,0.7142857142857143,0.75,0.38260294162784475,"Authenticity: Real, DocumentType: IndianCurrency, Reason: Geniune. No Manipulation"
3,Real_IndianCurrency_003.jpg,1.0,0.7142857142857143,0.75,0.38260294162784475,"Authenticity: Real, DocumentType: IndianCurrency, Reason: Geniune. No Manipulation"
4,Real_IndianCurrency_004.jpg,1.0,0.7142857142857143,0.75,0.38260294162784475,"Authenticity: Real, DocumentType: IndianCurrency, Reason: Geniune. No Manipulation"
5,Real_IndianCurrency_005.jpg,0.4,0.08695652173913043,0.31999999999999995,0.013679192123121896,"Authenticity: Fake, DocumentType: IndianCurrency, Reason: Manipulated or edited. Missing 500 annotation or missing emblem or AI generated."
6,Real_IndianCurrency_006.jpg,1.0,0.7142857142857143,0.75,0.38260294162784475,"Authenticity: Real, DocumentType: IndianCurrency, Reason: Geniune. No Manipulation"
7,Real_IndianCurrency_007.jpg,1.0,0.7142857142857143,0.75,0.38260294162784475,"Authenticity: Real, DocumentType: IndianCurrency, Reason: Geniune. No Manipulation"
8,Real_IndianCurrency_008.jpg,0.4,0.08695652173913043,0.31999999999999995,0.013679192123121896,"Authenticity: Fake, DocumentType: IndianCurrency, Reason: Manipulated or edited. Missing 500 annotation or missing emblem or AI generated."
9,Real_IndianCurrency_009.jpg,1.0,0.7142857142857143,0.75,0.38260294162784475,"Authenticity: Real, DocumentType: IndianCurrency, Reason: Geniune. No Manipulation"
10,Real_IndianCurrency_010.jpg,1.0,0.7142857142857143,0.75,0.38260294162784475,"Authenticity: Real, DocumentType: IndianCurrency, Reason: Geniune. No Manipulation"
11,Real_IndianCurrency_011.jpg,1.0,0.7142857142857143,0.75,0.38260294162784475,"Authenticity: Real, DocumentType: IndianCurrency, Reason: Geniune. No Manipulation"
